Round,Client,Accuracy,GradientNorm
1,0,0.6,43.267757
1,1,0.65,42.905461
1,2,0.5625,38.467743
1,3,0.625,38.078271
1,4,0.7875,39.839453
2,0,0.875,31.957439
2,1,0.6625,36.964177
2,2,0.8125,30.536637
2,3,0.6125,28.976369
2,4,0.4875,34.697815
3,0,0.875,24.849947
3,1,0.775,35.319143
3,2,0.9375,22.04814
3,3,0.8,19.961935
3,4,0.9,38.576841
4,0,0.8875,34.150605
4,1,0.825,37.456749
4,2,0.9625,26.650081
4,3,0.9,40.327069
4,4,0.8375,42.464337
5,0,0.9125,41.243051
5,1,0.7625,40.11985
5,2,0.925,21.499736
5,3,0.6,16.642481
5,4,0.8875,27.467191
